© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Ophthalmic Disease, Organismal Injury and Abnormalities	high myopia	Early-onset high myopia	2.01E-02	 	 	 	 	BSG	1	
Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Morphology	quantity	Quantity of erythroblasts	2.01E-02	 	 	 	 	LYL1	1	
Cellular Function and Maintenance	ion homeostasis	Ion homeostasis of cells	2.11E-02	 	 	 	 	FTL,KEL,BSG	3	
Connective Tissue Disorders, Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	beta thalassemia	Beta thalassemia	2.15E-02	 	 	 	 	KLF1	1	
Cellular Function and Maintenance, Hematological System Development and Function	function	Function of CD8+ T lymphocyte	2.15E-02	 	 	 	 	SLC2A1	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Skeletal and Muscular System Development and Function	fusion	Fusion of muscle cell lines	2.15E-02	 	 	 	 	CTSB	1	
Gastrointestinal Disease, Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of salivary gland	2.15E-02	 	 	 	 	CTSB	1	
Cellular Movement	invasion	Invasion of cervical cancer cell lines	2.15E-02	 	 	 	 	BSG	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of melanoma cells	2.22E-02	 	 	 	 	CTSB	1	
Tissue Morphology	quantity	Quantity of cervical cancer cell lines	2.22E-02	 	 	 	 	BSG	1	
Infectious Diseases	infection	Viral Infection	2.22E-02	 	 	 	 	FTL,CTSB,SLC2A1,KEL,BSG	5	
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of blood cells	2.25E-02	 	 	 	 	CTSB,SLC2A1,LYL1,KEL	4	
Cellular Movement	invasion	Invasion of bone cancer cell lines	2.29E-02	 	 	 	 	CTSB	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	non-small cell lung carcinoma	Stage I metastatic non-small cell lung carcinoma	2.29E-02	 	 	 	 	FTL	1	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of 2-deoxyglucose	2.29E-02	 	 	 	 	SLC2A1	1	
Cardiovascular System Development and Function, Organ Development	function	Function of left ventricle	2.36E-02	 	 	 	 	SLC2A1	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	advanced lung cancer	Advanced lung cancer	2.42E-02	 	 	 	 	FTL,CTSB	2	
Cellular Growth and Proliferation	colony formation	Colony formation of leukemia cell lines	2.43E-02	 	 	 	 	CTSB	1	
Cancer, Organismal Injury and Abnormalities, Tissue Morphology, Tumor Morphology	size	Size of malignant tumor	2.43E-02	 	 	 	 	CTSB	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	hereditary neuropathy	Hereditary neuropathy	2.48E-02	 	 	 	 	FTL,HK1	2	
Infectious Diseases	infection	Infection of kidney cell lines	2.50E-02	 	 	 	 	CTSB,BSG	2	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	liver adenoma	Hepatocellular adenoma	2.51E-02	 	 	 	 	SLC2A1	1	
Cell Death and Survival	cell death	Cell death of tumor cell lines	2.56E-02	 	 	 	 	CTSB,SPECC1,SLC2A1,HK1,BSG	5	
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by CD4+ T-lymphocytes	2.58E-02	 	 	 	 	BSG	1	
Carbohydrate Metabolism	metabolism	Metabolism of polysaccharide	2.59E-02	 	 	 	 	CTSB,BSG	2	
Cell Morphology, Cellular Assembly and Organization	morphology	Morphology of endosomes	2.65E-02	 	 	 	 	RILP	1	
Molecular Transport, Protein Synthesis, Protein Trafficking	localization	Localization of protein	2.65E-02	 	 	 	 	FTL,BSG	2	
Cell Death and Survival	apoptosis	Apoptosis of intestinal cell lines	2.72E-02	 	 	 	 	OSBP2	1	
Neurological Disease	movement disorder	Movement Disorders	2.77E-02	 	 	 	 	FTL,CTSB,SLC2A1,KEL	4	
Cell Death and Survival	cell death	Cell death of immune cells	2.82E-02	 	 	 	 	CTSB,SLC2A1,HK1	3	
Cell Death and Survival, Embryonic Development	apoptosis	Apoptosis of embryonic stem cells	2.86E-02	 	 	 	 	SLC2A1	1	
Behavior	circling behavior	Circling behavior	2.86E-02	 	 	 	 	FTL	1	
Tissue Morphology	degradation	Degradation of extracellular matrix	2.86E-02	 	 	 	 	CTSB	1	
Hematological Disease	hemorrhagic disease	Hemorrhagic disease	2.87E-02	 	 	 	 	CTSB,LYL1	2	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of tumor cells	2.89E-02	 	 	 	 	CTSB,BSG	2	
Cell Morphology, Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Morphology	abnormal morphology	Abnormal morphology of skeletal muscle cells	3.00E-02	 	 	 	 	KEL	1	
Carbohydrate Metabolism	phosphorylation	Phosphorylation of carbohydrate	3.00E-02	 	 	 	 	HK1	1	
Cell Morphology, Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease	abnormal morphology	Abnormal morphology of sperm head	3.07E-02	 	 	 	 	OSBP2	1	
Developmental Disorder, Skeletal and Muscular Disorders	centronuclear myopathy	Centronuclear myopathy	3.07E-02	 	 	 	 	KEL	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	maturation	Maturation of red blood cells	3.07E-02	 	 	 	 	KLF1	1	
Gastrointestinal Disease, Hepatic System Disease, Inflammatory Disease, Organismal Injury and Abnormalities	primary sclerosing cholangitis	Primary sclerosing cholangitis	3.07E-02	 	 	 	 	BSG	1	
Cell Morphology, Organ Development, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	size	Size of skeletal muscle cells	3.07E-02	 	 	 	 	KEL	1	
Carbohydrate Metabolism, Drug Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of hyaluronic acid	3.07E-02	 	 	 	 	BSG	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Cellular infiltration by phagocytes	3.08E-02	 	 	 	 	CTSB,BSG	2	
Cancer, Organismal Injury and Abnormalities	nonhematologic malignant neoplasm	Nonhematologic malignant neoplasm	3.13E-02	 	 	 	 	SLC7A5,FTL,RILP,TMCC2,SLC2A1,OSBP2,BSG,ELOF1,FAM104A,CTSB,SLC1A5,SPECC1,KLF1,HK1,LYL1,KEL	16	
Cellular Assembly and Organization, Tissue Development	formation	Formation of fibrils	3.14E-02	 	 	 	 	CTSB	1	
Cellular Development, Cellular Growth and Proliferation	proliferation	Proliferation of lung cancer cell lines	3.15E-02	 	 	 	 	SLC2A1,HK1	2	
Cardiovascular System Development and Function, Tissue Morphology	quantity	Quantity of endothelial cells	3.21E-02	 	 	 	 	CTSB	1	
Carbohydrate Metabolism	metabolism	Metabolism of carbohydrate	3.31E-02	 	 	 	 	CTSB,SLC2A1,BSG	3	
Cell Death and Survival	apoptosis	Apoptosis of carcinoma cell lines	3.35E-02	 	 	 	 	CTSB,SPECC1	2	
Cell Death and Survival	apoptosis	Apoptosis of kidney cancer cell lines	3.35E-02	 	 	 	 	SLC2A1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Arrest in differentiation of B lymphocytes	3.42E-02	 	 	 	 	LYL1	1	
Endocrine System Disorders, Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	insulitis	Insulitis	3.42E-02	 	 	 	 	CTSB	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	stimulation	Stimulation of cells	3.49E-02	 	 	 	 	SLC1A5,BSG	2	
Cell Death and Survival, Cellular Compromise, Neurological Disease, Organismal Injury and Abnormalities, Tissue Morphology	neurodegeneration	Neurodegeneration of Purkinje cells	3.49E-02	 	 	 	 	CTSB	1	
Hematological System Development and Function	mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	3.56E-02	 	 	 	 	KEL	1	
Cell Death and Survival	apoptosis	Apoptosis of lung cell lines	3.63E-02	 	 	 	 	SPECC1	1	
Carbohydrate Metabolism, Energy Production, Small Molecule Biochemistry	oxidation	Oxidation of D-glucose	3.63E-02	 	 	 	 	SLC2A1	1	
Cardiovascular System Development and Function, Cell Morphology, Cellular Development, Organismal Development, Tissue Development	tubulation	Tubulation of endothelial cell lines	3.63E-02	 	 	 	 	BSG	1	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	cervical carcinoma	Cervical carcinoma	3.71E-02	 	 	 	 	CTSB,BSG	2	
Cellular Movement	invasion	Invasion of breast cancer cell lines	3.71E-02	 	 	 	 	CTSB,BSG	2	
Cellular Movement	cellular infiltration	Cellular infiltration by myeloid cells	3.84E-02	 	 	 	 	CTSB,BSG	2	
Neurological Disease	neurodegeneration	Neurodegeneration	3.90E-02	 	 	 	 	FTL,CTSB	2	
Cellular Movement	migration	Migration of ovarian cancer cell lines	3.91E-02	 	 	 	 	BSG	1	
Dermatological Diseases and Conditions, Neurological Disease, Organismal Injury and Abnormalities	allodynia	Allodynia	3.98E-02	 	 	 	 	CTSB	1	
Cellular Movement	invasion	Invasion of epithelial cell lines	3.98E-02	 	 	 	 	BSG	1	
Hematological System Development and Function, Hypersensitivity Response, Inflammatory Response, Tissue Morphology	quantity	Quantity of mast cells	3.98E-02	 	 	 	 	CTSB	1	
Cancer, Organismal Injury and Abnormalities	tumor burden	Tumor burden	3.98E-02	 	 	 	 	CTSB	1	
Neurological Disease, Organismal Injury and Abnormalities	progressive encephalopathy	Progressive encephalopathy	4.03E-02	 	 	 	 	FTL,CTSB	2	
Organismal Injury and Abnormalities, Reproductive System Disease	infertility	Infertility	4.08E-02	 	 	 	 	OSBP2,BSG	2	
Cellular Development, Cellular Growth and Proliferation	proliferation	Proliferation of prostate cancer cell lines	4.15E-02	 	 	 	 	SLC7A5,HK1	2	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of D-glucose	4.16E-02	 	 	 	 	SLC2A1,HK1	2	
Tissue Morphology	quantity	Quantity of cells	4.18E-02	 	 	 	 	CTSB,SLC2A1,LYL1,KEL,BSG	5	
Organismal Survival	organismal death	Organismal death	4.19E-02	 	 	 	 	SLC7A5,FTL,CTSB,SLC2A1,KLF1,BSG	6	
Cellular Development, Embryonic Development, Organismal Development, Tissue Development	differentiation	Differentiation of trophoblast	4.19E-02	 	 	 	 	BSG	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	hematopoiesis	Hematopoiesis in embryo	4.19E-02	 	 	 	 	KLF1	1	
Cell Death and Survival	apoptosis	Apoptosis of fibrosarcoma cell lines	4.26E-02	 	 	 	 	CTSB	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive nonsyndromic mental retardation	Autosomal recessive nonsyndromic mental retardation	4.26E-02	 	 	 	 	SLC2A1	1	
Cellular Function and Maintenance, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	function	Function of osteoclasts	4.33E-02	 	 	 	 	SLC1A5	1	
Hematological System Development and Function	mean corpuscular volume	Mean corpuscular volume	4.33E-02	 	 	 	 	KEL	1	
Amino Acid Metabolism, Post-Translational Modification, Small Molecule Biochemistry	phosphorylation	Phosphorylation of L-threonine	4.33E-02	 	 	 	 	HK1	1	
Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Morphology	quantity	Quantity of reticulocytes	4.40E-02	 	 	 	 	KEL	1	
Cell Death and Survival	apoptosis	Apoptosis of tumor cell lines	4.49E-02	 	 	 	 	CTSB,SPECC1,SLC2A1,BSG	4	
Tissue Development	disassembly	Disassembly of extracellular matrix	4.61E-02	 	 	 	 	BSG	1	
Cellular Movement	cell movement	Cell movement of bone cancer cell lines	4.67E-02	 	 	 	 	CTSB	1	
Hematological System Development and Function, Hematopoiesis	development	Development of hematopoietic system	4.73E-02	 	 	 	 	KLF1,LYL1	2	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	proliferation	Proliferation of cancer cells	4.74E-02	 	 	 	 	CTSB,BSG	2	
Cellular Function and Maintenance, Hematological System Development and Function	function	Function of CD4+ T-lymphocytes	4.74E-02	 	 	 	 	SLC2A1	1	
Organismal Injury and Abnormalities, Reproductive System Disease	azoospermia or oligozoospermia	Azoospermia or oligozoospermia	4.78E-02	 	 	 	 	OSBP2,BSG	2	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	benign rolandic epilepsy	Benign rolandic epilepsy	4.81E-02	 	 	 	 	SLC2A1	1	
Cellular Compromise, Lipid Metabolism, Small Molecule Biochemistry	peroxidation	Peroxidation of lipid	4.88E-02	 	 	 	 	FTL	1	
Cellular Compromise, Inflammatory Response	degranulation	Degranulation of neutrophils	4.92E-02	 	 	 	 	FTL,CTSB	2	
Cellular Movement	invasion	Invasion of tumor cell lines	4.98E-02	 	 	 	 	CTSB,SLC2A1,BSG	3	

Tox Functions for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Liver Fibrosis, Liver Proliferation	proliferation	Proliferation of hepatic stellate cells/myofibroblasts	1.45E-03	 	 	 	 	CTSB	1	
Liver Hyperplasia/Hyperproliferation	cancer	Liver cancer	1.46E-03	 	 	 	 	SLC7A5,FTL,FAM104A,TMCC2,CTSB,SLC1A5,SPECC1,SLC2A1,HK1,KEL,BSG	11	
Renal Proliferation	growth	Arrest in growth of kidney cell lines	4.34E-03	 	 	 	 	OSBP2	1	
Liver Proliferation	proliferation	Proliferation of liver cells	1.23E-02	 	 	 	 	SLC7A5,CTSB	2	
Renal Dysfunction	dysfunction	Dysfunction of kidney	1.72E-02	 	 	 	 	BSG	1	
Hepatocellular carcinoma, Liver Hyperplasia/Hyperproliferation	hepatocellular carcinoma	Unresectable hepatocellular carcinoma	1.72E-02	 	 	 	 	BSG	1	
Liver Hyperplasia/Hyperproliferation	liver carcinoma	Liver carcinoma	1.92E-02	 	 	 	 	SLC7A5,FTL,FAM104A,TMCC2,SLC1A5,SPECC1,HK1,KEL,BSG	9	
Cardiac Dilation	dilation	Dilation of left ventricle	1.94E-02	 	 	 	 	SLC2A1	1	
Liver Damage	hepatic injury	Hepatic injury	2.01E-02	 	 	 	 	CTSB,BSG	2	
Liver Hyperplasia/Hyperproliferation	liver adenoma	Hepatocellular adenoma	2.51E-02	 	 	 	 	SLC2A1	1	
Hepatocellular carcinoma, Liver Hyperplasia/Hyperproliferation	hepatocellular carcinoma	Hepatocellular carcinoma	5.90E-02	 	 	 	 	FTL,FAM104A,BSG	3	
Renal Necrosis/Cell Death	cell viability	Cell viability of kidney cell lines	6.32E-02	 	 	 	 	SLC2A1	1	
Liver Cirrhosis	primary biliary cirrhosis	Primary biliary cirrhosis	7.07E-02	 	 	 	 	BSG	1	
Hepatocellular carcinoma, Liver Hyperplasia/Hyperproliferation	development	Development of hepatocellular carcinoma	7.61E-02	 	 	 	 	BSG	1	
Liver Necrosis/Cell Death	apoptosis	Apoptosis of hepatocytes	1.12E-01	 	 	 	 	CTSB	1	
Liver Fibrosis	fibrosis	Fibrosis of liver	1.17E-01	 	 	 	 	CTSB	1	
Liver Proliferation	proliferation	Proliferation of hepatocytes	1.25E-01	 	 	 	 	SLC7A5	1	
Cardiac Enlargement	hypertrophy	Hypertrophy of heart cells	1.28E-01	 	 	 	 	CTSB	1	
Cardiac Dysfunction	dysfunction	Dysfunction of heart	1.70E-01	 	 	 	 	SLC2A1	1	
Cardiac Necrosis/Cell Death	cell death	Cell death of cardiomyocytes	1.80E-01	 	 	 	 	HK1	1	
Renal Necrosis/Cell Death	cell death	Cell death of kidney cell lines	2.58E-01	 	 	 	 	HK1	1	

Regulator Effects for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM

Networks for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
ID	Analysis	Molecules in Network	Score	Focus Molecules	Top Diseases and Functions	
1	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	AMIGO2,ANGPT4,ANGPTL1,AURKA,Akt,Arnt-Hif1a,BSG,CTSB,Cyp2j9,ELOF1,ERAP2,ERK,FTL,FYB2,HIF3A,HK1,INSRR,IkB-NfkB,Insulin,KEL,KLF1,MLIP,MPC1,MTORC1,NFkB (complex),SCD5,SLC1A5,SLC2A1,SLC3A1,SLC48A1,SLC7A5,TCR,TP73-AS1,Tsc1-Tsc2,Vegf	26	10	Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	
2	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	ATAD2,AVEN,BCL2L1,CD53,CRYAA/CRYAA2,CYB5B,DDX25,DIP2A,DPH1,FAM104A,FOXRED1,GALNT10,GIMAP1-GIMAP5,HSPB3,HSPD1,Ige,LALBA,LYL1,MORC4,MPDU1,NXF1,Nrg1,OSBP2,RAB12,RAB34,RAB7B,RILP,RNF144B,SLC25A39,SPECC1,SRM,TMCC2,VPS36,YARS2,antigen	14	6	DNA Replication, Recombination, and Repair, Energy Production, Nucleic Acid Metabolism	

My Lists for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
My Lists	 -log(p-value)	Ratio	Molecules 

Tox Lists for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Toxicity Lists	 -log(p-value)	Ratio	Molecules 
Increases Liver Damage	2.68E00	2.11E-02	CTSB,BSG
Protection from Hypoxia-induced Renal Ischemic Injury (Rat)	2.54E00	2.5E-01	SLC2A1
Liver Proliferation	1.87E00	8.1E-03	SLC7A5,CTSB
Increases Cardiac Dysfunction	1.38E00	1.69E-02	SLC2A1
Renal Necrosis/Cell Death	1.21E00	3.55E-03	SLC2A1,HK1
TR/RXR Activation	1.15E00	1E-02	SLC2A1
NRF2-mediated Oxidative Stress Response	7.69E-01	3.91E-03	FTL
Cardiac Necrosis/Cell Death	7.09E-01	3.36E-03	HK1
Liver Necrosis/Cell Death	6.84E-01	3.14E-03	CTSB
Xenobiotic Metabolism Signaling	6.29E-01	2.72E-03	FTL
Cardiac Hypertrophy	6.29E-01	2.72E-03	CTSB

My Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
My Pathways	 -log(p-value)	Ratio	Molecules 

Analysis Ready Molecules for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
ID	Symbol
BSG	BSG
CTSB	CTSB
ELOF1	ELOF1
FAM104A	FAM104A
FTL	FTL
HK1	HK1
KEL	KEL
KLF1	KLF1
LYL1	LYL1
OSBP2	OSBP2
RILP	RILP
SLC1A5	SLC1A5
SLC2A1	SLC2A1
SLC7A5	SLC7A5
SPECC1	SPECC1
TMCC2	TMCC2

